"m_norm, orientation: x-axis, horizontal: -z, vertical: y",,,9,8,7,6,5,4,3,2,1,0
,,0,0.29648,0.433842,0.229629,0.2229,0.311862,0.390442,0.322257,0.338544,0.316643,0.25014
,,1,0.319582,0.36759,0.16269,0.281451,0.16765,0.358887,0.428927,0.341332,0.352189,0.320035
,,2,0.196265,0.270617,0.165178,0.106348,0.0946062,0.198926,0.265582,0.400468,0.21118,0.313974
,,3,0.177024,0.150914,0.129059,0.183295,0.267549,0.134249,0.452948,0.470361,0.242054,0.334485
,,4,0.179979,0.129319,0.233283,0.124573,0.179147,0.276228,0.411082,0.282275,0.339452,0.27764
,,5,0.291725,0.150906,0.192346,0.30245,0.0749307,0.248798,0.357667,0.321845,0.377346,0.35203
,,6,0.427687,0.23514,0.319654,0.224258,0.213915,0.257728,0.116351,0.26091,0.236847,0.311474
,,7,0.411723,0.276003,0.192239,0.226531,0.301394,0.376193,0.202039,0.236883,0.254148,0.421334
,,8,0.361773,0.387118,0.271019,0.270011,0.37226,0.5057,0.539273,0.555699,0.366652,0.317099
,,9,0.433811,0.280582,0.279716,0.514296,0.162199,0.345368,0.382073,0.423655,0.261983,0.217693

"m_x, orientation: x-axis, horizontal: -z, vertical: y",,,9,8,7,6,5,4,3,2,1,0
,,0,-0.135222,-0.142394,-0.0781018,-0.00799075,-0.209237,-0.291816,-0.167561,-0.0475064,-0.13111,-0.126239
,,1,-0.0964643,-0.28705,-0.0985704,-0.104031,-0.158603,-0.29855,-0.14804,-0.185923,-0.261754,-0.271467
,,2,-0.1614,-0.26868,-0.14143,-0.0295795,-0.0120629,-0.0426721,0.0865386,0.049629,-0.106166,-0.197177
,,3,-0.0757913,-0.122324,0.097173,0.172107,0.0232701,-0.0944903,-0.221869,-0.291748,-0.159782,-0.253098
,,4,0.0708391,-0.121907,-0.194773,-0.0472069,-0.037492,-0.219394,-0.186612,-0.19636,-0.184879,-0.102338
,,5,0.0243607,0.114222,-0.141429,-0.0812397,-0.0418536,-0.021535,-0.277816,-0.2748,-0.19527,-0.105007
,,6,0.388692,0.212403,0.161168,0.10686,-0.128786,-0.0230263,-0.0880955,-0.260336,-0.032627,0.0577965
,,7,0.359309,0.231637,0.164832,0.119129,0.150727,0.347475,0.139246,0.133948,0.102465,0.0977884
,,8,0.180522,0.292816,0.162461,0.203055,0.317976,0.344116,0.33219,0.0977113,-0.0468766,-0.0942719
,,9,0.295962,0.0753737,0.20955,0.282917,0.159181,0.3445,0.195174,-0.0781529,-0.09172,0.109431

"m_y, orientation: x-axis, horizontal: -z, vertical: y",,,9,8,7,6,5,4,3,2,1,0
,,0,-0.28714,-0.147543,0.0635909,0.222206,0.165036,0.0800042,0.0550963,-0.120114,-0.120935,-0.00245127
,,1,-0.160185,-0.148196,0.0129138,-0.109186,0.0251535,-0.0179239,-0.178853,-0.058461,0.0490123,0.0624824
,,2,-0.0110625,0.0778473,0.138105,0.154178,0.0148068,-0.0657011,-0.126929,-0.263496,-0.0846465,0.113378
,,3,0.0128485,0.00902636,0.0292412,0.0153259,-0.198278,-0.0284802,-0.419164,-0.161259,-0.0541082,-0.00316
,,4,0.223089,0.0351018,0.104907,0.138494,-0.0781766,-0.104089,-0.243291,-0.0889581,0.0209052,0.0479763
,,5,0.347252,0.0412885,0.134295,0.239895,0.00138927,-0.056034,-0.147734,-0.0452444,-0.0757981,0.0885009
,,6,0.149728,0.176012,0.213853,0.206154,0.173339,-0.0719915,0.0468421,0.0488697,0.234582,0.191685
,,7,0.00195559,0.152648,0.079327,0.176976,0.241959,0.207986,0.0997871,0.218938,0.225295,0.408053
,,8,0.340141,0.235733,-0.134172,0.184169,0.231933,0.363045,0.265391,0.345403,0.350142,0.301953
,,9,0.323793,0.224773,0.163349,0.287261,0.0551622,0.0614043,0.267727,0.242047,0.207651,0.173122

"m_z, orientation: x-axis, horizontal: -z, vertical: y",,,9,8,7,6,5,4,3,2,1,0
,,0,-0.0535824,0.179033,0.0958079,0.0156525,0.161991,0.246753,0.269698,0.229763,0.261625,0.215935
,,1,0.248626,0.195726,0.138926,0.184308,0.0537272,0.208198,0.26583,0.280219,0.230476,0.157557
,,2,0.0888311,0.008594,-0.0119582,-0.0082581,0.0797553,0.164023,0.171291,0.247216,0.161743,0.216441
,,3,0.162995,0.142038,0.115777,0.112878,0.194213,0.146173,0.0984673,0.313205,0.173586,0.218659
,,4,0.108603,0.111623,-0.0378964,-0.00113482,0.106215,0.0564099,0.134042,0.120443,0.28392,0.253592
,,5,-0.0804218,0.107106,-0.0285223,-0.124746,0.120567,0.222572,0.0938859,0.103082,0.31387,0.324139
,,6,0.0217675,-0.0273666,-0.202657,-0.0933928,-0.0572369,0.206505,0.0176163,0.0145354,0.00187027,0.238605
,,7,0.275301,0.025034,-0.009713,-0.096628,-0.112189,0.0664395,-0.100038,-0.0687869,-0.0577421,-0.0381104
,,8,0.00449441,0.0899316,-0.00972282,-0.0887871,-0.0463736,-0.12774,-0.336274,-0.377129,-0.0981672,-0.0221132
,,9,0.151085,-0.0686685,-0.0169414,-0.277173,0.101581,0.032901,-0.143358,-0.291044,-0.130781,0.0737823

--------------------------------------------------------------------------------



"m_norm, orientation: y-axis, horizontal: x, vertical: -z",,,0,1,2,3,4,5,6,7,8,9,10
,,9,0.643782,0.832055,0.793159,0.819374,0.767389,0.717165,0.816206,0.1,0.743333,0.835996,0.712172
,,8,0.860009,0.908313,0.830658,0.83421,0.773097,0,0.668077,0,0.675988,0.876627,0.869526
,,7,0.816945,0.853307,0.897672,0.79746,0.733645,0,0.682511,0,0.760819,0.880883,0.89851
,,6,0.792156,0.815638,0.916361,0.859011,0.789916,0,0.754728,0,0.832901,0.883714,0.785251
,,5,0.758177,0.862786,0.800484,0.894967,0.75049,0,0.771424,0,0.816525,0.832981,0.827252
,,4,0.857244,0.794338,0.858478,0.834619,0.826019,0,0.767588,0,0.828403,0.733381,0.72603
,,3,0.640181,0.879933,0.69091,0.597523,0.778313,0,0.772,0.1,0.82882,0.856255,0.860606
,,2,0.807148,0.747847,0.740664,0.672,0.8697,0,0.668449,0,0.62165,0.710138,0.80765
,,1,0.833665,0.741591,0.76153,0.763717,0.755654,0,0.828456,0,0,0.58663,0.703252
,,0,0.772019,0.780595,0.862276,0.828688,0.725901,0.542463,0.879414,0.1,0,0,0.714927

"m_x, orientation: y-axis, horizontal: x, vertical: -z",,,0,1,2,3,4,5,6,7,8,9,10
,,9,-0.160276,-0.0565565,0.202591,-0.0836681,0.0950836,0.374399,-0.250622,0.0196704,0.0963338,0.244858,0.505803
,,8,-0.105834,0.0297049,-0.0981698,-0.220776,-0.191257,0,-0.0562802,0,0.0207045,0.248391,0.269219
,,7,0.0177059,0.0937547,0.119165,-0.222837,-0.161727,0,-0.112197,0,0.0386857,0.192246,0.0770837
,,6,0.223743,-0.123404,-0.0962204,-0.0661681,-0.276416,0,0.127037,0,0.211155,0.3994,0.259485
,,5,-0.1831,-0.270669,-0.100148,-0.233389,-0.164597,0,0.104632,0,0.210912,0.530518,0.20207
,,4,-0.180671,-0.139046,-0.338431,-0.223172,-0.271792,0,0.230635,0,0.438253,0.229451,0.111631
,,3,-0.221136,-0.189617,-0.213026,-0.272269,-0.566229,0,0.309647,0,0.230823,0.325927,0.0563299
,,2,-0.305003,-0.223278,-0.302915,-0.308165,-0.531587,0,-0.0492234,0,0.178373,0.150108,0.180942
,,1,-0.203931,-0.439728,-0.26638,-0.316102,-0.4581,0,-0.00573933,0,0,0.13252,0.366157
,,0,-0.407229,-0.302002,-0.256632,-0.511158,-0.236558,0.21745,0.252313,0.0885232,0,0,0.182252

"m_y, orientation: y-axis, horizontal: x, vertical: -z",,,0,1,2,3,4,5,6,7,8,9,10
,,9,0.300534,0.416074,0.535369,0.694729,0.533522,0.402505,-0.467163,-0.0850263,-0.526602,-0.454714,-0.469896
,,8,0.436479,0.470815,0.475562,0.688363,0.587781,0,-0.310165,0,-0.394963,-0.622716,-0.668178
,,7,0.459366,0.533816,0.720587,0.75227,0.66588,0,-0.528117,0,-0.489273,-0.635695,-0.692819
,,6,0.46756,0.549996,0.76706,0.816605,0.70443,0,-0.521689,0,-0.316286,-0.417104,-0.455234
,,5,0.544296,0.690736,0.551254,0.510869,0.627362,0,-0.721508,0,-0.62313,-0.510138,-0.473149
,,4,0.54031,0.628366,0.409999,0.532868,0.629407,0,-0.692643,0,-0.637666,-0.577163,-0.507642
,,3,0.260009,0.649983,0.540195,0.400379,0.332678,0,-0.688736,0,-0.681642,-0.685709,-0.561791
,,2,0.458662,0.337822,0.441761,0.381144,0.571469,0,-0.555532,0,-0.393728,-0.51033,-0.609391
,,1,0.475533,0.281908,0.450169,0.478362,0.458958,0,-0.4395,0,0,-0.382947,-0.57671
,,0,0.56108,0.558745,0.4715,0.43463,0.451258,0.00384121,-0.34078,-0.0444202,0,0,-0.576161

"m_z, orientation: y-axis, horizontal: x, vertical: -z",,,0,1,2,3,4,5,6,7,8,9,10
,,9,0.463801,0.718331,0.549034,0.426291,0.543322,0.295244,-0.620596,-0.0488222,-0.515708,-0.657395,-0.174787
,,8,0.619979,0.776198,0.673941,0.416319,0.464342,0,-0.58903,0,-0.548211,-0.564802,-0.486965
,,7,0.594777,0.659077,0.52189,0.142747,0.262076,0,-0.417523,0,-0.581344,-0.578696,-0.566903
,,6,0.477421,0.589526,0.492014,0.258222,0.226584,0,-0.530393,0,-0.741013,-0.66892,-0.584849
,,5,0.353119,0.440479,0.571721,0.696785,0.377571,0,-0.252137,0,-0.483672,-0.390087,-0.647798
,,4,0.515901,0.465613,0.674055,0.602357,0.460744,0,-0.237161,0,-0.295919,-0.389977,-0.506909
,,3,0.43209,0.562005,0.374388,0.350144,0.417711,0,-0.160455,0,-0.411131,-0.395915,-0.649508
,,2,0.470212,0.628727,0.511539,0.459726,0.383688,0,-0.368491,0,-0.446778,-0.470454,-0.498197
,,1,0.524435,0.526426,0.553459,0.504493,0.387961,0,-0.702244,0,0,-0.424176,-0.167025
,,0,0.339657,0.453792,0.674794,0.486351,0.517048,0.496957,-0.770439,-0.0138019,0,0,-0.382024

--------------------------------------------------------------------------------



"m_norm, orientation: z-axis, horizontal: x, vertical: y",,,0,1,2,3,4,5,6,7,8,9,10
,,1767536,0.826034,0.859069,0.716072,0.570286,0.458388,0.0528927,0.1,0.179956,0.1,0.699529,0.62814
,,10,0.796174,0.897936,0.893163,0.863799,0.762318,0.153979,0.830075,0,0.655199,0.629163,0.730544
,,10,0.907459,0.850893,0.848115,0.735401,0.889749,0.1,0.858516,0,0.639435,0.834819,0.900228
,,10,0.726734,0.859982,0.767247,0.781416,0.80922,0.199443,0.804652,0,0.663723,0.715999,0.914496
,,10,0.857976,0.946188,0.857789,0.913043,0.832229,0.1,0.817466,0,0.700398,0.720489,0.844257
,,10,0.861315,0.837407,0.865162,0.899919,0.855987,0.156216,0.84869,0,0.675584,0.675368,0.781258
,,10,0.1,0.869301,0.814127,0.864884,0.909133,0.194045,0.898245,0,0.706556,0.769687,0.886961
,,10,0.898108,0.875288,0.883974,0.931672,0.833006,0.170465,0.847719,0,0.731313,0.808303,0.850406
,,10,0.779044,0.758216,0.808016,0.910863,0.774316,0.156904,0.727168,0,0.710645,0.812004,0.898607
,,10,0.744177,0.828795,0.850084,0.748583,0.815434,0.133738,0.817849,0,0.667349,0.842662,0.845781

"m_x, orientation: z-axis, horizontal: x, vertical: y",,,0,1,2,3,4,5,6,7,8,9,10
,,1071200164,-0.410858,-0.44185,-0.334557,-0.259145,-0.12719,0.017986,0.0776378,0.108194,0.00741544,-0.0128258,-0.0646378
,,10,-0.174147,-0.355843,-0.391257,-0.392805,-0.135505,-0.096893,-0.0679865,0,-0.189566,0.00835601,-0.126068
,,10,-0.0842495,0.0265744,-0.203616,-0.399772,-0.436023,-0.084386,-0.23897,0,0.00672992,0.193982,0.324265
,,10,-0.113216,-0.213334,-0.238115,-0.241206,-0.502195,0.0818973,-0.186813,0,0.0970719,0.254383,0.139133
,,10,-0.285628,-0.411904,-0.196074,-0.399542,-0.552885,0.0336103,-0.197991,0,0.270069,0.161586,0.20262
,,10,-0.502805,-0.28765,-0.25591,-0.336352,-0.136109,0.0749581,0.0338305,0,0.118397,0.194742,0.0891533
,,10,-0.0659823,-0.261191,0.0623635,-0.157563,-0.189742,0.179407,-0.0270478,0,0.180732,0.312528,0.572314
,,10,0.0995694,0.141547,0.159346,-0.00723713,-0.0967747,0.144553,0.330829,0,0.101978,0.405541,0.456568
,,10,0.103726,0.0104251,0.0916798,0.0460897,-0.199735,0.130736,0.448335,0,0.433908,0.314153,0.26042
,,10,-0.0921395,0.172383,-0.0440277,-0.31017,-0.387018,0.10998,0.378377,0,0.398506,0.620975,0.357205

"m_y, orientation: z-axis, horizontal: x, vertical: y",,,0,1,2,3,4,5,6,7,8,9,10
,,3097328,0.0236289,0.223402,0.286007,0.33258,0.401211,0.0327514,-0.0280134,-0.129446,-0.0800803,-0.640662,-0.522852
,,10,0.146887,0.283502,0.44708,0.409169,0.493675,0.0835997,-0.739521,0,-0.546788,-0.588841,-0.564331
,,10,0.550784,0.438114,0.37544,0.278574,0.618792,0.0351765,-0.686873,0,-0.393254,-0.604801,-0.670824
,,10,0.474831,0.525588,0.384402,0.257376,0.277334,0.0275133,-0.634017,0,-0.58859,-0.58263,-0.878105
,,10,0.636349,0.493371,0.411402,0.584357,0.126012,-0.0443665,-0.553985,0,-0.445779,-0.526032,-0.684762
,,10,0.517537,0.33739,0.62696,0.604181,0.693227,0.100259,-0.705476,0,-0.397781,-0.465272,-0.730435
,,10,0.0146947,0.611963,0.667009,0.808185,0.82638,0.0419727,-0.635243,0,-0.528685,-0.510614,-0.535056
,,10,0.709624,0.737454,0.770042,0.893642,0.755898,0.0405915,-0.474802,0,-0.507146,-0.473474,-0.457613
,,10,0.711584,0.70889,0.698413,0.905213,0.724737,0.06366,-0.377298,0,-0.383645,-0.221419,-0.0980244
,,10,0.717908,0.758589,0.696702,0.61694,0.64548,0.0251885,-0.430605,0,-0.191542,-0.182772,-0.44897

"m_z, orientation: z-axis, horizontal: x, vertical: y",,,0,1,2,3,4,5,6,7,8,9,10
,,32,0.716219,0.702039,0.564828,0.384007,0.181582,0.0374363,-0.056459,-0.0626241,-0.0594319,-0.280588,-0.342064
,,10,0.762883,0.77414,0.666917,0.651485,0.564847,0.0856302,-0.370825,0,-0.307202,-0.221455,-0.446467
,,10,0.716255,0.72895,0.732724,0.550811,0.467584,0.0405169,-0.456233,0,-0.504166,-0.541764,-0.505231
,,10,0.538386,0.646386,0.619842,0.697272,0.57072,0.179759,-0.458899,0,-0.290976,-0.329373,-0.214189
,,10,0.499598,0.6944,0.726708,0.576663,0.609133,0.0830781,-0.567583,0,-0.467869,-0.465065,-0.450351
,,10,0.470326,0.710406,0.538457,0.575923,0.483347,0.0934498,-0.470569,0,-0.533072,-0.449132,-0.262452
,,10,0.0736913,0.559433,0.462614,0.264642,0.32805,0.0608674,-0.634491,0,-0.432492,-0.483754,-0.415779
,,10,0.541402,0.449727,0.403799,0.263371,0.336382,0.0807159,-0.619469,0,-0.516935,-0.514503,-0.552564
,,10,0.299664,0.268809,0.395859,0.0902024,0.185546,0.0589443,-0.430598,0,-0.411772,-0.715285,-0.854439
,,10,0.172967,0.285883,0.485087,0.289059,0.313856,0.0718024,-0.583341,0,-0.49986,-0.539503,-0.62143

